Date,Time (UTC),Active Power L1 (W),
6/6/2022,22:06:09:840,14.68407917,
6/6/2022,22:06:09:890,14.76119423,
6/6/2022,22:06:09:940,14.93407917,
6/6/2022,22:06:09:990,15.1094532,
6/6/2022,22:06:10:041,15.05970192,
6/6/2022,22:06:10:090,15.03855705,
6/6/2022,22:06:10:140,14.95522404,
6/6/2022,22:06:10:190,14.96890545,
6/6/2022,22:06:10:240,14.8594532,
6/6/2022,22:06:10:290,14.93407917,
6/6/2022,22:06:10:340,14.95522404,
6/6/2022,22:06:10:390,15.02860737,
6/6/2022,22:06:10:440,14.8756218,
6/6/2022,22:06:10:490,14.72139263,
6/6/2022,22:06:10:540,14.42537308,
6/6/2022,22:06:10:590,14.64801025,
6/6/2022,22:06:10:640,14.75124359,
6/6/2022,22:06:10:690,14.94900513,
6/6/2022,22:06:10:740,14.9378109,
6/6/2022,22:06:10:790,14.96019936,
6/6/2022,22:06:10:840,14.92164135,
6/6/2022,22:06:10:890,14.95024872,
6/6/2022,22:06:10:940,15.11815929,
6/6/2022,22:06:10:990,15.14552212,
6/6/2022,22:06:11:040,15.23258686,
6/6/2022,22:06:11:090,15.08084583,
6/6/2022,22:06:11:140,15.04975128,
6/6/2022,22:06:11:190,14.95771122,
6/6/2022,22:06:11:240,14.95149231,
6/6/2022,22:06:11:290,15.04975128,
6/6/2022,22:06:11:340,14.86940289,
6/6/2022,22:06:11:390,14.96766186,
6/6/2022,22:06:11:440,14.69776154,
6/6/2022,22:06:11:490,14.78109455,
6/6/2022,22:06:11:540,14.6878109,
6/6/2022,22:06:11:590,14.83333302,
6/6/2022,22:06:11:640,15.07835865,
6/6/2022,22:06:11:690,15.20024872,
6/6/2022,22:06:11:740,15.26741314,
6/6/2022,22:06:11:790,15.12313461,
6/6/2022,22:06:11:840,15.28606987,
6/6/2022,22:06:11:890,15.08955193,
6/6/2022,22:06:11:940,15.03731346,
6/6/2022,22:07:11:940,15.0696516,
6/6/2022,22:08:11:940,15.0621891,
6/6/2022,22:09:11:940,14.97885609,
6/6/2022,22:10:11:940,14.90422916,
6/6/2022,22:11:11:940,15,
6/6/2022,22:12:11:940,14.90422916,
6/6/2022,22:13:11:940,15.24751282,
6/6/2022,22:14:11:940,15.13557243,
6/6/2022,22:15:11:940,15.01865673,
6/6/2022,22:16:11:940,15.01741314,
6/6/2022,22:17:11:940,14.49378109,
6/6/2022,22:18:11:940,14.98631859,
6/6/2022,22:19:11:940,15.12189102,
6/6/2022,22:20:11:940,15.22885609,
6/6/2022,22:21:11:940,15.20149231,
6/6/2022,22:22:11:940,15.38184071,
6/6/2022,22:23:11:940,15,
6/6/2022,22:24:11:940,15.2972641,
6/6/2022,22:25:11:940,15.34079647,
6/6/2022,22:26:11:940,15.18283558,
6/6/2022,22:27:11:940,15.264925,
6/6/2022,22:28:11:940,15.05721378,
6/6/2022,22:29:11:940,14.95771122,
6/6/2022,22:30:11:940,15.1791048,
6/6/2022,22:31:11:940,15.24751282,
6/6/2022,22:32:11:940,14.89179134,
6/6/2022,22:33:11:940,14.86318398,
6/6/2022,22:34:11:940,14.77736282,
6/6/2022,22:35:11:940,15.16169167,
6/6/2022,22:36:11:940,14.99502468,
6/6/2022,22:37:11:940,15.06716442,
6/6/2022,22:38:11:940,14.93159199,
6/6/2022,22:39:11:940,14.93407917,
6/6/2022,22:40:11:940,15.1405468,
6/6/2022,22:40:29:199,211.7512512,
6/6/2022,22:40:29:249,1060.767456,
6/6/2022,22:40:29:299,1443.926636,
6/6/2022,22:40:29:349,1479.917969,
6/6/2022,22:40:29:399,1299.75,
6/6/2022,22:40:29:449,1012.793518,
6/6/2022,22:40:29:499,889.2077026,
6/6/2022,22:40:29:549,867.4489746,
6/6/2022,22:40:29:599,865.7661743,
6/6/2022,22:40:29:649,869.0721436,
6/6/2022,22:40:29:699,868.2512207,
6/6/2022,22:40:29:749,867.9428101,
6/6/2022,22:40:29:799,864.3532104,
6/6/2022,22:40:29:849,861.6181641,
6/6/2022,22:40:29:899,855.5808716,
6/6/2022,22:40:29:949,847.1019897,
6/6/2022,22:40:29:999,833.1368408,
6/6/2022,22:40:30:049,811.416687,
6/6/2022,22:40:30:099,772.3109741,
6/6/2022,22:40:30:149,733.4900513,
6/6/2022,22:40:30:199,636.4763794,
6/6/2022,22:40:30:249,490.3955078,
6/6/2022,22:40:30:299,338.8669128,
6/6/2022,22:40:30:349,251.8868103,
6/6/2022,22:40:30:399,212.9825897,
6/6/2022,22:40:30:449,193.3072205,
6/6/2022,22:40:30:499,183.0684052,
6/6/2022,22:40:30:549,175.0087128,
6/6/2022,22:40:30:599,170.7400513,
6/6/2022,22:40:30:649,166.2388,
6/6/2022,22:40:30:699,164.092041,
6/6/2022,22:40:30:749,161.5485077,
6/6/2022,22:40:30:799,160.0708923,
6/6/2022,22:40:30:849,158.5037384,
6/6/2022,22:40:30:899,157.4166718,
6/6/2022,22:40:30:949,156.4179077,
6/6/2022,22:40:30:999,155.8980103,
6/6/2022,22:40:31:049,155.1753693,
6/6/2022,22:40:31:099,154.7151794,
6/6/2022,22:40:31:149,154.222641,
6/6/2022,22:40:31:199,153.6268616,
6/6/2022,22:40:31:249,153.5161743,
6/6/2022,22:40:31:299,153.1156769,
6/6/2022,22:40:31:350,152.9788513,
6/6/2022,22:40:31:399,152.8022461,
6/6/2022,22:40:31:449,152.7077179,
6/6/2022,22:40:31:499,152.4788513,
6/6/2022,22:40:31:550,152.4203949,
6/6/2022,22:40:31:599,152.4166718,
6/6/2022,22:40:31:649,152.9539795,
6/6/2022,22:40:31:699,152.5435333,
6/6/2022,22:40:31:749,152.8395538,
6/6/2022,22:40:31:799,152.6442719,
6/6/2022,22:40:31:849,152.8743744,
6/6/2022,22:40:31:899,152.7661743,
6/6/2022,22:40:31:949,152.9664154,
6/6/2022,22:40:31:999,152.934082,
6/6/2022,22:40:32:049,152.7375641,
6/6/2022,22:40:32:099,152.5024872,
6/6/2022,22:40:32:149,152.6679077,
6/6/2022,22:40:32:199,152.5746307,
6/6/2022,22:41:32:199,162.9651794,
6/6/2022,22:42:32:199,155.2835846,
6/6/2022,22:43:32:199,155.527359,
6/6/2022,22:44:32:199,154.776123,
