Date,Time (UTC),Active Power L1 (W),Reactive Power L1 (Var),Active Power L3 (W),,,
6/6/2022,21:05:05:321,643.4578857,71.70302582,0.403000772,,,
6/6/2022,21:05:05:371,644.3534546,75.80568695,0.313445032,,,
6/6/2022,21:05:05:421,648.3386841,79.38085175,0.089555725,,,
6/6/2022,21:05:05:471,645.7863159,86.08047485,0.134333581,,,
6/6/2022,21:05:05:521,641.5324097,85.84361267,0.223889321,,,
6/6/2022,21:05:05:571,638.4875488,89.58490753,0.179111451,,,
6/6/2022,21:05:05:621,636.8755493,83.52692413,0.044777863,,,
6/6/2022,21:05:05:672,648.9655762,69.83751678,-0.134333581,,,
6/6/2022,21:05:05:722,668.1304932,73.43053436,-0.134333581,,,
6/6/2022,21:05:05:772,679.0562744,69.7307663,-0.134333581,,,
6/6/2022,21:05:05:822,683.8922729,74.94514465,-0.134333581,,,
6/6/2022,21:05:05:872,678.7428589,77.91904449,-0.179111451,,,
6/6/2022,21:05:05:922,676.1904907,60.55058289,-0.223889321,,,
6/6/2022,21:05:05:972,678.5189819,72.66598511,-0.313445032,,,
6/6/2022,21:05:06:022,679.0562744,73.59781647,-0.223889321,,,
6/6/2022,21:06:07:824,644.1743164,83.94485474,-0.179111451,,,
6/6/2022,21:06:11:461,745.9096069,75.98912048,0.044777863,,,
6/6/2022,21:06:11:511,752.8502197,58.37542343,-0.044777863,,,
6/6/2022,21:06:11:561,760.9997559,66.63536835,-0.089555725,,,
6/6/2022,21:06:11:611,773.7166748,65.5491333,-0.134333581,,,
6/6/2022,21:06:11:662,785.94104,66.50392151,-0.179111451,,,
6/6/2022,21:06:11:712,794.3145142,61.45432663,-0.044777863,,,
6/6/2022,21:06:11:762,803.8969727,51.13252258,0,,,
6/6/2022,21:06:11:812,813.6137695,47.6984024,0.044777863,,,
6/6/2022,21:06:11:862,820.2856445,56.36979675,0.223889321,,,
6/6/2022,21:06:11:912,823.5992432,48.54066086,0.268667161,,,
6/6/2022,21:06:11:962,828.1217651,45.71129608,0.044777863,,,
6/6/2022,21:06:12:012,833.9876709,47.04972458,-0.044777863,,,
6/6/2022,21:06:12:062,833.6294556,71.42228699,-0.089555725,,,
6/6/2022,21:06:12:112,824.8082275,73.42961121,-0.223889321,,,
6/6/2022,21:06:12:162,815.6735229,79.198349,-0.223889321,,,
6/6/2022,21:06:12:212,808.777771,67.21166992,-0.313445032,,,
6/6/2022,21:06:12:262,805.0612183,70.84516144,-0.223889321,,,
6/6/2022,21:06:12:312,802.6879883,74.56801605,-0.134333581,,,
6/6/2022,21:06:12:362,802.7775269,72.3383255,-0.134333581,,,
6/6/2022,21:06:12:412,803.0462036,70.24734497,0.044777863,,,
6/6/2022,21:06:12:462,802.8670654,59.03295135,0.134333581,,,
6/6/2022,21:06:12:512,801.2550659,63.03618622,-0.089555725,,,
6/6/2022,21:06:12:562,798.8370972,64.91593933,-0.179111451,,,
6/6/2022,21:06:12:612,796.9116211,62.74172974,-0.089555725,,,
6/6/2022,21:06:12:662,796.0160522,62.62084579,-0.089555725,,,
6/6/2022,21:06:12:712,795.0309448,68.55570221,-0.089555725,,,
6/6/2022,21:06:12:762,793.9562988,72.47907257,-0.089555725,,,
6/6/2022,21:06:12:812,794.135376,71.38852692,0.179111451,,,
6/6/2022,21:06:12:862,794.5383911,72.3814621,0.268667161,,,
6/6/2022,21:06:12:912,795.1652832,76.41521454,0.313445032,,,
6/6/2022,21:06:12:962,791.6726074,46.26907349,0.179111451,,,
6/6/2022,21:06:13:012,794.4488525,76.35251617,0.179111451,,,
6/6/2022,21:06:13:062,796.1951904,72.45381165,-0.089555725,,,
6/6/2022,21:06:13:112,796.6877441,60.48780441,-0.179111451,,,
6/6/2022,21:06:13:162,795.9265137,64.52719116,-0.089555725,,,
6/6/2022,21:06:13:212,795.8369751,61.48387527,0.044777863,,,
6/6/2022,21:06:13:262,794.5383911,60.43524551,0.044777863,,,
6/6/2022,21:06:13:312,793.8666992,57.34793091,0,,,
6/6/2022,21:06:13:363,794.4935913,65.33940887,-0.089555725,,,
6/6/2022,21:06:13:413,796.7772827,61.39336777,-0.089555725,,,
6/6/2022,21:06:13:463,798.2102051,75.5983963,0.044777863,,,
6/6/2022,21:06:13:513,796.4190674,76.60935974,-0.044777863,,,
6/6/2022,21:06:13:563,795.9713135,72.54051208,0.134333581,,,
6/6/2022,21:06:13:613,795.3444214,75.50531769,0.358222902,,,
6/6/2022,21:06:13:663,796.4190674,64.44787598,0.358222902,,,
6/6/2022,21:06:13:713,797.4937134,74.60090637,0.268667161,,,
6/6/2022,21:06:13:763,796.9116211,69.61051178,0.089555725,,,
6/6/2022,21:06:13:813,796.8668213,70.59735107,-0.179111451,,,
