Date,Time (UTC),Active Power L1 (W),Reactive Power L1 (Var),Active Power L3 (W)
6/1/2022,21:31:49:318,31.74750519,-62.03095245,-0.134333581
6/1/2022,21:32:49:318,32.19528198,-63.17764282,-0.268667161
6/1/2022,21:33:49:320,32.55350494,-62.05791855,-0.268667161
6/1/2022,21:34:49:320,32.28483963,-62.64121628,0.179111451
6/1/2022,21:35:49:321,32.95650864,-63.2480278,0.223889321
6/1/2022,21:36:49:322,32.41917419,-61.73225403,0.089555725
6/1/2022,21:37:49:322,32.28483963,-62.94986725,-0.089555725
6/1/2022,21:38:49:322,32.10572815,-63.42935181,0.134333581
6/1/2022,21:39:49:322,32.55350494,-62.70624542,-0.268667161
6/1/2022,21:40:49:323,32.19528198,-61.95016479,-0.179111451
6/1/2022,21:41:49:325,31.74750519,-62.98129272,0.044777863
6/1/2022,21:42:49:325,32.91172791,-62.85983276,-0.179111451
6/1/2022,21:43:49:325,32.55350494,-62.42759705,-0.313445032
6/1/2022,21:44:49:326,32.15050507,-61.91579056,-0.089555725
6/1/2022,21:45:49:325,32.28483963,-62.7559166,-0.223889321
6/1/2022,21:46:49:326,32.64306259,-62.81370544,-0.179111451
6/1/2022,21:47:49:326,31.70272636,-62.69958115,-0.179111451
6/1/2022,21:48:18:826,161.289856,67.21083069,0.044777863
6/1/2022,21:48:18:877,681.7877197,276.5725098,0.313445032
6/1/2022,21:48:18:927,1040.592773,375.4769287,0.313445032
6/1/2022,21:48:18:978,1246.302246,436.3270874,0.268667161
6/1/2022,21:48:19:028,1262.825317,462.9764099,0.268667161
6/1/2022,21:48:19:078,1162.38855,368.839447,0.403000772
6/1/2022,21:48:19:128,1063.339966,347.4618835,0.313445032
6/1/2022,21:48:19:178,993.0834351,316.5859985,0.134333581
6/1/2022,21:48:19:229,953.8580322,287.6393738,0.044777863
6/1/2022,21:48:19:279,931.6929932,274.2923279,-0.134333581
6/1/2022,21:48:19:329,919.6029663,265.9921875,-0.134333581
6/1/2022,21:48:19:379,913.1101685,263.9932251,0.044777863
6/1/2022,21:48:19:430,907.5577393,255.5187988,-0.089555725
6/1/2022,21:48:19:479,902.9456177,252.30896,-0.089555725
6/1/2022,21:48:19:529,897.1244507,244.3928833,0.089555725
6/1/2022,21:48:19:579,889.6466064,242.2423706,-0.134333581
6/1/2022,21:48:19:629,879.2133179,237.690567,-0.268667161
6/1/2022,21:48:19:680,863.5858765,233.5384979,-0.179111451
6/1/2022,21:48:19:729,840.0774536,226.1896362,0.089555725
6/1/2022,21:48:19:779,803.8521729,206.7114258,0.313445032
6/1/2022,21:48:19:830,744.6558838,198.1425171,0.179111451
6/1/2022,21:48:19:879,645.8759155,225.6196594,-0.044777863
6/1/2022,21:48:19:929,524.5726318,268.0453186,0
6/1/2022,21:48:19:979,417.7326965,255.1476746,0
6/1/2022,21:48:20:029,338.7893066,239.9784698,0
6/1/2022,21:48:20:079,284.87677,213.1591339,0.044777863
6/1/2022,21:48:20:129,250.6217041,194.0888824,-0.044777863
6/1/2022,21:48:20:180,226.7550964,163.817688,-0.179111451
6/1/2022,21:48:20:229,212.739624,155.017746,-0.044777863
6/1/2022,21:48:20:279,202.7541656,139.700531,-0.134333581
6/1/2022,21:48:20:329,196.2613678,132.2823181,0
6/1/2022,21:48:20:379,191.6940308,128.0764618,-0.044777863
6/1/2022,21:48:20:429,188.4252472,122.0808182,-0.179111451
6/1/2022,21:48:20:479,186.0072479,122.0092697,-0.089555725
6/1/2022,21:48:20:529,184.4400177,121.7567062,-0.089555725
6/1/2022,21:48:20:579,183.1414642,121.8266754,-0.223889321
6/1/2022,21:48:20:629,182.0667877,115.6635132,-0.089555725
6/1/2022,21:48:20:679,181.260788,109.0138626,-0.179111451
6/1/2022,21:48:20:729,180.6786804,109.4510422,-0.403000772
6/1/2022,21:48:20:779,180.0965576,107.9171066,-0.313445032
6/1/2022,21:48:20:829,179.6040039,108.9760818,-0.403000772
6/1/2022,21:48:20:879,179.201004,109.4626312,-0.313445032
6/1/2022,21:48:20:930,178.7084503,111.1265335,-0.313445032
6/1/2022,21:48:20:979,178.4845581,114.862915,-0.358222902
6/1/2022,21:48:21:029,178.5741119,113.863533,-0.313445032
6/1/2022,21:48:21:079,178.1711121,113.4928436,-0.179111451
6/1/2022,21:48:21:129,177.857666,114.0017776,0.044777863
6/1/2022,21:48:21:179,177.9920044,114.678566,0.134333581
6/1/2022,21:48:21:229,177.8128967,116.2002258,-0.044777863
6/1/2022,21:48:21:279,177.7681122,114.7146378,0
6/1/2022,21:48:21:329,177.5890045,116.5062485,0.044777863
6/1/2022,21:48:21:379,177.7233429,117.0022964,-0.134333581
6/1/2022,21:48:21:429,177.4994507,112.1165924,-0.179111451
6/1/2022,21:48:21:479,177.6337891,112.044426,0.134333581
6/1/2022,21:48:21:529,177.4546661,109.2470474,0.268667161
6/1/2022,21:48:21:580,177.3651123,107.625946,0.268667161
6/1/2022,21:48:21:629,177.2755585,106.398735,0.358222902
6/1/2022,21:48:21:679,177.2755585,110.1244507,0.268667161
6/1/2022,21:48:21:729,177.4098969,110.9915085,0.044777863
6/1/2022,21:48:21:779,177.5890045,113.080101,-0.179111451
6/1/2022,21:48:21:829,177.54422,113.8933716,-0.447778642
6/1/2022,21:49:21:830,186.6789093,113.9761581,0.403000772
6/1/2022,21:50:21:830,176.6934509,116.0134201,-0.447778642
6/1/2022,21:51:21:830,172.9320984,116.4360733,-0.403000772
6/1/2022,21:52:21:830,172.4395447,111.5844269,-0.044777863
6/1/2022,21:53:21:830,171.230545,116.3389969,0.492556483
6/1/2022,21:54:21:830,170.5140991,105.1750717,-0.403000772
6/1/2022,21:55:21:831,171.1409912,113.6300888,0.089555725
6/1/2022,21:56:21:832,170.5140991,111.4519806,0.134333581
6/1/2022,21:57:21:832,170.6484375,109.1936646,0
6/1/2022,21:58:21:832,171.4096527,116.571579,-0.044777863
6/1/2022,21:59:21:832,170.9618835,104.3371353,0.268667161
6/1/2022,22:00:21:834,171.1409912,109.7735519,0.134333581
6/1/2022,22:01:21:834,172.3499908,111.4413376,0.313445032
6/1/2022,22:02:21:835,169.9767609,112.3837738,-0.223889321
6/1/2022,22:03:21:835,169.0812073,107.1753006,-0.223889321
6/1/2022,22:04:21:835,166.8423157,107.3914337,0
6/1/2022,22:05:21:835,164.7377625,108.032135,0.134333581
6/1/2022,22:06:21:835,162.4093018,112.313591,0
6/1/2022,22:07:21:837,161.5137482,115.2244186,0.044777863
6/1/2022,22:08:21:839,160.3943024,108.7843628,0.223889321
6/1/2022,22:09:21:839,159.3196411,107.1545639,-0.134333581
6/1/2022,22:10:21:839,158.6031952,116.147728,-0.134333581
6/1/2022,22:11:21:841,158.5136414,109.0744476,-0.223889321
6/1/2022,22:12:21:841,157.5285187,108.5554581,0.089555725
6/1/2022,22:13:21:841,157.1255188,105.6370697,-0.179111451
6/1/2022,22:14:21:842,157.4837494,113.551445,-0.179111451
6/1/2022,22:15:21:844,157.035965,108.3320999,0.089555725
6/1/2022,22:16:21:843,156.3643036,106.9061203,0.223889321
6/1/2022,22:17:21:843,156.9464111,111.4003372,0.089555725
6/1/2022,22:18:21:843,155.7374115,111.2411041,-0.223889321
6/1/2022,22:19:21:843,155.3791809,112.1260986,-0.492556483
6/1/2022,22:20:21:843,155.0209656,112.1308517,0.179111451
6/1/2022,22:20:51:568,257.0697021,84.87484741,-0.268667161
6/1/2022,22:20:51:619,262.0848389,86.17489624,-0.134333581
6/1/2022,22:20:51:669,269.9657288,81.62181854,-0.179111451
6/1/2022,22:20:51:719,279.9959717,84.57507324,-0.447778642
6/1/2022,22:20:51:769,287.2947693,87.97897339,-0.268667161
6/1/2022,22:20:51:819,291.7725525,89.16246796,-0.179111451
6/1/2022,22:20:51:869,294.4592285,91.21141052,-0.089555725
6/1/2022,22:20:51:919,295.8921204,92.81980133,0
6/1/2022,22:20:51:969,296.6981201,93.05953979,0
6/1/2022,22:20:52:019,294.5039978,91.79505157,0.179111451
6/1/2022,22:20:52:069,291.8621216,91.43141174,0.268667161
6/1/2022,22:20:52:119,293.9666748,88.39857483,0.089555725
6/1/2022,22:20:52:169,297.2802429,85.56729889,-0.134333581
6/1/2022,22:20:52:219,300.1460266,81.81719971,-0.179111451
6/1/2022,22:20:52:269,303.6834717,82.89374542,-0.134333581
6/1/2022,22:20:52:319,306.6387939,82.90626526,-0.089555725
6/1/2022,22:20:52:369,308.6090393,82.81990051,-0.134333581
6/1/2022,22:20:52:419,310.0867004,85.20842743,-0.089555725
6/1/2022,22:20:52:469,310.2658081,90.88246918,0.044777863
6/1/2022,22:20:52:519,308.2507935,89.36546326,0.089555725
6/1/2022,22:20:52:569,306.6835938,89.15892029,0
6/1/2022,22:20:52:619,307.6239319,88.20497894,-0.134333581
6/1/2022,22:20:52:669,309.32547,86.84287262,-0.268667161
6/1/2022,22:20:52:719,311.0270386,89.02737427,-0.447778642
6/1/2022,22:20:52:769,312.6390381,75.70072937,-0.671667933
6/1/2022,22:20:52:819,323.6543884,73.15532684,-0.582112193
6/1/2022,22:20:52:869,336.4608459,75.9655304,-0.268667161
6/1/2022,22:20:52:919,346.7597656,74.14257813,-0.223889321
6/1/2022,22:20:52:969,353.7451172,76.48416901,-0.134333581
6/1/2022,22:20:53:019,357.9094543,77.94346619,-0.179111451
6/1/2022,22:20:53:069,360.7304688,76.76994324,-0.089555725
6/1/2022,22:20:53:119,362.7454529,76.16560364,-0.179111451
6/1/2022,22:20:53:169,363.8201294,73.50772858,-0.268667161
6/1/2022,22:20:53:219,364.5813599,80.91638947,-0.134333581
6/1/2022,22:20:53:269,365.7008057,77.13481903,-0.134333581
6/1/2022,22:20:53:319,366.4172363,81.37122345,0.223889321
6/1/2022,22:20:53:369,366.8650208,82.41849518,0.223889321
6/1/2022,22:20:53:419,367.6710205,84.81356049,0.134333581
6/1/2022,22:20:53:469,368.3874817,84.54885101,0
6/1/2022,22:20:53:519,369.28302,83.80432892,-0.179111451
6/1/2022,22:20:53:569,370.268158,81.72759247,-0.134333581
6/1/2022,22:20:53:619,368.3874817,89.00054169,-0.044777863
6/1/2022,22:20:53:669,364.6261292,87.26986694,-0.044777863
6/1/2022,22:20:53:719,361.5812378,86.23183441,-0.089555725
6/1/2022,22:20:53:769,359.7453613,87.46751404,-0.089555725
6/1/2022,22:20:53:819,358.6706848,85.26091003,-0.089555725
6/1/2022,22:20:53:869,358.4020081,82.81773376,-0.089555725
6/1/2022,22:20:53:919,358.088562,78.26570892,0
6/1/2022,22:20:53:969,358.5811157,74.69878387,0
6/1/2022,22:20:54:019,359.0736694,74.73921967,0.089555725
6/1/2022,22:20:54:069,359.1632385,76.0718689,0.179111451
6/1/2022,22:20:54:119,359.2080078,76.11130524,0.089555725
6/1/2022,22:20:54:169,359.2528076,79.19337463,-0.044777863
6/1/2022,22:20:54:219,359.2975769,81.84801483,-0.358222902
6/1/2022,22:20:54:269,359.4319153,84.09115601,-0.179111451
6/1/2022,22:20:54:319,359.6110229,87.19452667,-0.044777863
6/1/2022,22:20:54:369,359.8796692,83.2722168,0.044777863
6/1/2022,22:20:54:419,360.237915,86.84223175,0
6/1/2022,22:20:54:469,360.6408997,87.36614227,-0.044777863
6/1/2022,22:20:54:519,360.775238,85.21970367,0.089555725
6/1/2022,22:20:54:569,360.9543457,83.91598511,0
6/1/2022,22:21:00:158,463.0478821,66.2806778,-0.179111451
6/1/2022,22:21:00:209,465.9584351,66.09789276,-0.268667161
6/1/2022,22:21:00:259,467.2122192,71.77471924,-0.447778642
6/1/2022,22:21:00:309,467.6600037,69.23175049,-0.134333581
6/1/2022,22:21:00:359,468.4660034,76.8671875,0.044777863
6/1/2022,22:21:00:409,468.3764343,75.83525848,0.044777863
6/1/2022,22:21:00:459,467.9286804,77.02159119,-0.313445032
6/1/2022,22:21:00:509,467.5256653,81.00878906,-0.403000772
6/1/2022,22:21:00:560,463.4956665,80.86013794,-0.358222902
6/1/2022,22:21:00:610,461.0328674,77.54694366,-0.268667161
6/1/2022,22:21:00:660,462.3762207,75.62566376,-0.223889321
6/1/2022,22:21:00:710,463.9882202,74.52999115,-0.089555725
6/1/2022,22:21:00:760,465.1524353,77.51051331,-0.179111451
6/1/2022,22:21:00:810,466.2718811,74.80802917,-0.447778642
6/1/2022,22:21:00:860,467.0331116,73.2377243,-0.492556483
6/1/2022,22:21:00:910,467.6152344,73.36257935,-0.537334323
6/1/2022,22:21:00:960,467.6600037,72.8792038,-0.313445032
6/1/2022,22:21:01:010,467.5704346,71.75843048,-0.223889321
6/1/2022,22:21:01:060,467.4360962,66.01010895,-0.223889321
6/1/2022,22:21:01:110,467.7047729,66.60388947,-0.268667161
6/1/2022,22:21:01:160,467.6600037,71.20817566,-0.179111451
6/1/2022,22:21:01:210,468.9585571,72.41027069,-0.179111451
6/1/2022,22:21:01:260,470.4810181,74.30687714,-0.223889321
6/1/2022,22:21:01:310,471.7795715,75.11058044,-0.179111451
6/1/2022,22:21:01:360,472.4960022,78.7614212,-0.313445032
6/1/2022,22:21:01:410,472.8990173,82.97046661,-0.223889321
6/1/2022,22:21:01:460,472.9437866,80.14733124,-0.223889321
6/1/2022,22:21:01:510,473.3468018,79.05931854,-0.134333581
6/1/2022,22:21:01:561,473.5259094,81.42961884,-0.179111451
6/1/2022,22:21:01:610,473.4811096,82.60296631,-0.492556483
6/1/2022,22:21:01:660,473.5259094,77.98499298,-0.492556483
6/1/2022,22:21:01:710,473.5706787,75.67139435,-0.626890063
6/1/2022,22:21:01:760,473.7945557,73.3520813,-0.447778642
6/1/2022,22:21:01:810,473.7945557,70.45202637,-0.179111451
6/1/2022,22:21:01:860,473.6602173,71.03166962,-0.134333581
6/1/2022,22:21:01:910,475.1379089,69.90705109,-0.089555725
6/1/2022,22:21:01:960,480.1082458,69.65305328,-0.134333581
6/1/2022,22:21:02:010,485.4367981,69.66640472,-0.403000772
6/1/2022,22:21:02:060,489.332489,72.13224792,-0.403000772
6/1/2022,22:21:02:110,491.8848267,76.92867279,-0.179111451
6/1/2022,22:21:02:160,493.6311646,78.00849152,0.044777863
6/1/2022,22:21:02:210,494.6610413,80.77813721,0.403000772
6/1/2022,22:21:02:260,495.6909485,79.21585846,0.179111451
6/1/2022,22:21:02:310,497.2133789,81.25653076,0.134333581
6/1/2022,22:21:02:360,498.4671631,82.70331573,-0.044777863
6/1/2022,22:21:02:410,499.4075012,81.05718231,-0.223889321
6/1/2022,22:21:02:460,499.9448242,82.4372406,-0.179111451
6/1/2022,22:21:02:510,499.8552856,80.06642914,-0.223889321
6/1/2022,22:21:02:560,493.4968262,92.12789154,-0.268667161
6/1/2022,22:21:02:610,488.3921509,82.28311157,-0.313445032
6/1/2022,22:21:02:660,486.959259,81.71180725,-0.492556483
6/1/2022,22:21:02:710,489.7354736,74.9148407,-0.358222902
6/1/2022,22:21:02:760,492.3326111,71.45439148,-0.134333581
6/1/2022,22:21:02:810,494.4371643,75.34840393,-0.089555725
6/1/2022,22:21:02:861,495.7357178,73.14833069,-0.089555725
6/1/2022,22:21:02:911,496.2282715,77.59454346,0
6/1/2022,22:21:02:961,496.2282715,77.06690216,-0.134333581
6/1/2022,22:21:03:011,496.3178406,79.56507111,-0.134333581
6/1/2022,22:21:03:061,496.4073792,82.66654205,0.223889321
6/1/2022,22:21:03:111,496.2730408,63.67295837,0.358222902
6/1/2022,22:21:03:161,498.8701782,85.85575867,0.268667161
6/1/2022,22:21:17:008,398.7468567,93.03145599,0.044777863
6/1/2022,22:21:17:058,387.6419678,106.888649,0.134333581
6/1/2022,22:21:17:108,373.5369263,91.74137878,0.358222902
6/1/2022,22:21:17:158,366.2829285,95.23023987,0.089555725
6/1/2022,22:21:17:208,362.0290222,95.29357147,-0.134333581
6/1/2022,22:21:17:258,359.7901306,92.67979431,-0.223889321
6/1/2022,22:21:17:308,358.0437927,101.2607956,-0.358222902
6/1/2022,22:21:17:358,355.401886,95.12433624,-0.313445032
6/1/2022,22:21:17:408,355.6705627,101.2674408,-0.089555725
6/1/2022,22:21:17:458,351.5509949,104.2899246,0
6/1/2022,22:21:17:508,345.5955505,104.9277039,0.089555725
6/1/2022,22:21:17:558,343.2223206,85.40844727,0
6/1/2022,22:21:17:608,347.3866577,81.33105469,0
6/1/2022,22:21:17:658,351.7301025,89.1339035,-0.089555725
6/1/2022,22:21:17:708,357.0138855,89.54281616,0.089555725
6/1/2022,22:21:17:758,360.6856995,86.52170563,0.044777863
6/1/2022,22:21:17:808,362.9245911,94.36088562,-0.179111451
6/1/2022,22:21:17:858,364.9395752,80.64248657,-0.313445032
6/1/2022,22:21:17:908,363.685791,87.1919632,-0.358222902
6/1/2022,22:21:17:958,363.9096985,81.40502167,-0.403000772
6/1/2022,22:21:18:008,367.9396973,83.52331543,-0.223889321
6/1/2022,22:21:18:058,371.6114807,85.04875183,-0.268667161
6/1/2022,22:21:18:108,374.2533875,85.24422455,-0.358222902
6/1/2022,22:21:18:158,375.8205872,87.62351227,-0.268667161
6/1/2022,22:21:18:208,377.3878174,92.64941406,-0.223889321
6/1/2022,22:21:18:258,379.3132629,92.60782623,-0.358222902
6/1/2022,22:21:18:308,380.8357239,95.30371857,-0.403000772
6/1/2022,22:21:18:358,380.4327087,110.4678879,-0.223889321
6/1/2022,22:21:18:408,375.0145874,90.20917511,0.134333581
6/1/2022,22:21:18:458,371.342804,116.6954041,0.313445032
6/1/2022,22:21:18:508,363.4171448,119.3813553,0.089555725
6/1/2022,22:21:18:558,357.551239,98.06681061,-0.044777863
6/1/2022,22:21:18:608,351.3271179,103.6594315,0
6/1/2022,22:21:18:658,348.5061035,92.733078,-0.089555725
6/1/2022,22:21:18:708,351.2375488,83.46253967,-0.134333581
6/1/2022,22:21:18:758,354.3720093,88.8484726,-0.134333581
6/1/2022,22:21:18:808,361.4021301,84.69998169,-0.179111451
6/1/2022,22:21:18:858,369.8203735,68.8687973,-0.313445032
6/1/2022,22:21:18:908,364.3574829,106.5561447,-0.313445032
6/1/2022,22:21:18:958,347.0284424,119.2411041,-0.223889321
6/1/2022,22:21:19:008,342.4610901,94.378479,-0.044777863
6/1/2022,22:21:19:058,343.3118591,95.9003067,0
6/1/2022,22:21:19:108,344.3417664,95.86400604,0.044777863
6/1/2022,22:21:19:158,351.1480103,89.79348755,-0.089555725
6/1/2022,22:21:19:208,356.2078857,96.74759674,-0.044777863
6/1/2022,22:21:19:258,357.9094543,94.08384705,0
6/1/2022,22:21:19:308,359.1632385,91.53647614,0
6/1/2022,22:21:19:358,358.6706848,100.1620102,-0.134333581
6/1/2022,22:21:19:408,358.7602234,97.59036255,-0.403000772
6/1/2022,22:21:19:458,354.1929016,132.4953156,-0.313445032
6/1/2022,22:21:19:508,350.0733337,86.15171051,-0.044777863
6/1/2022,22:21:19:558,352.5361023,98.03029633,-0.089555725
6/1/2022,22:21:19:608,355.3571167,83.87619019,-0.179111451
6/1/2022,22:21:19:658,361.1782532,78.74265289,-0.134333581
6/1/2022,22:21:19:708,361.7155762,94.08844757,-0.179111451
6/1/2022,22:21:19:758,354.9989014,96.09179688,-0.134333581
6/1/2022,22:21:19:808,348.1031189,109.3698196,-0.179111451
6/1/2022,22:21:19:858,335.2070923,111.9657364,-0.223889321
6/1/2022,22:21:19:908,320.2512817,117.3358612,-0.089555725
6/1/2022,22:21:19:958,310.8031311,125.3718796,0
6/1/2022,22:21:20:008,304.3551331,110.2369385,0.089555725
6/1/2022,22:21:24:768,404.7471008,78.09894562,0.403000772
6/1/2022,22:21:24:818,409.0457764,87.3449173,0.179111451
6/1/2022,22:21:24:868,414.1056824,80.27370453,0.089555725
6/1/2022,22:21:24:918,422.8373718,72.69482422,0.134333581
6/1/2022,22:21:24:968,430.5391541,80.78861237,0.179111451
6/1/2022,22:21:25:018,433.3153687,80.44271088,0.223889321
6/1/2022,22:21:25:068,429.7779236,85.16378784,0.089555725
6/1/2022,22:21:25:118,429.7331543,80.94974518,0
6/1/2022,22:21:25:168,429.4644775,86.40924835,0.179111451
6/1/2022,22:21:25:218,424.5389099,86.5852356,0.134333581
6/1/2022,22:21:25:268,422.1209106,92.35899353,0.089555725
6/1/2022,22:21:25:318,422.792572,82.06777954,-0.179111451
6/1/2022,22:21:25:368,427.001709,83.79184723,-0.313445032
6/1/2022,22:21:25:418,431.6138306,91.22794342,-0.447778642
6/1/2022,22:21:25:468,429.1958008,93.70855713,-0.403000772
6/1/2022,22:21:25:518,424.7180176,90.26390839,-0.447778642
6/1/2022,22:21:25:568,422.0313416,90.33882141,-0.447778642
6/1/2022,22:21:25:618,416.7475586,88.57243347,-0.313445032
6/1/2022,22:21:25:668,418.5834656,77.6900177,-0.358222902
6/1/2022,22:21:25:718,424.8075867,86.81095123,-0.358222902
6/1/2022,22:21:25:768,428.2554932,85.8961792,-0.089555725
6/1/2022,22:21:25:818,426.3300171,87.25165558,-0.089555725
6/1/2022,22:21:25:868,424.852356,71.43582153,-0.313445032
6/1/2022,22:21:25:918,425.6583557,80.38552094,-0.358222902
6/1/2022,22:21:25:968,426.9569092,83.09875488,-0.134333581
6/1/2022,22:21:26:018,426.0613708,80.49284363,0.044777863
6/1/2022,22:21:26:068,427.4046936,85.80090332,-0.044777863
6/1/2022,22:21:26:118,431.4794922,84.55188751,-0.089555725
6/1/2022,22:21:26:168,436.4498291,93.19678497,-0.134333581
6/1/2022,22:21:26:218,438.1065979,85.77417755,-0.268667161
